"","Date","Value","Index"
"758",1882-06-01,27.29,"ENSO"
"907",1882-07-01,26.65,"ENSO"
"1056",1882-08-01,26.55,"ENSO"
"1205",1882-09-01,26.24,"ENSO"
"1354",1882-10-01,26.08,"ENSO"
"1503",1882-11-01,25.74,"ENSO"
"1652",1882-12-01,25.83,"ENSO"
"14",1883-01-01,26.12,"ENSO"
"163",1883-02-01,26.27,"ENSO"
"312",1883-03-01,26.86,"ENSO"
"461",1883-04-01,27.54,"ENSO"
"610",1883-05-01,27.49,"ENSO"
"759",1883-06-01,27.48,"ENSO"
"908",1883-07-01,27.21,"ENSO"
"1057",1883-08-01,26.85,"ENSO"
"1206",1883-09-01,26.58,"ENSO"
"1355",1883-10-01,26.32,"ENSO"
"1504",1883-11-01,26.43,"ENSO"
"1653",1883-12-01,26.44,"ENSO"
"15",1884-01-01,26.47,"ENSO"
"164",1884-02-01,26.75,"ENSO"
"313",1884-03-01,27.26,"ENSO"
"462",1884-04-01,28.03,"ENSO"
"611",1884-05-01,28.26,"ENSO"
"760",1884-06-01,27.55,"ENSO"
"909",1884-07-01,27.51,"ENSO"
"1058",1884-08-01,27.08,"ENSO"
"1207",1884-09-01,26.94,"ENSO"
"1356",1884-10-01,27.02,"ENSO"
"1505",1884-11-01,26.95,"ENSO"
"1654",1884-12-01,26.93,"ENSO"
"16",1885-01-01,26.7,"ENSO"
"165",1885-02-01,27.03,"ENSO"
"314",1885-03-01,27.38,"ENSO"
"463",1885-04-01,27.75,"ENSO"
"612",1885-05-01,28.3,"ENSO"
"761",1885-06-01,27.85,"ENSO"
"910",1885-07-01,27.3,"ENSO"
"1059",1885-08-01,27.21,"ENSO"
"1208",1885-09-01,27.27,"ENSO"
"1357",1885-10-01,27.45,"ENSO"
"1506",1885-11-01,27.46,"ENSO"
"1655",1885-12-01,27.61,"ENSO"
"17",1886-01-01,26.75,"ENSO"
"166",1886-02-01,26.67,"ENSO"
"315",1886-03-01,27.15,"ENSO"
"464",1886-04-01,27.4,"ENSO"
"613",1886-05-01,27.02,"ENSO"
"762",1886-06-01,26.79,"ENSO"
"911",1886-07-01,26.25,"ENSO"
"1060",1886-08-01,25.85,"ENSO"
"1209",1886-09-01,25.54,"ENSO"
"1358",1886-10-01,25.59,"ENSO"
"1507",1886-11-01,25.31,"ENSO"
"1656",1886-12-01,25.15,"ENSO"
"18",1887-01-01,25.9,"ENSO"
"167",1887-02-01,25.74,"ENSO"
"316",1887-03-01,26.08,"ENSO"
"465",1887-04-01,26.59,"ENSO"
"614",1887-05-01,26.72,"ENSO"
"763",1887-06-01,27.12,"ENSO"
"912",1887-07-01,26.68,"ENSO"
"1061",1887-08-01,26.25,"ENSO"
"1210",1887-09-01,26.41,"ENSO"
"1359",1887-10-01,26.61,"ENSO"
"1508",1887-11-01,26.69,"ENSO"
"1657",1887-12-01,26.74,"ENSO"
"19",1888-01-01,26.73,"ENSO"
"168",1888-02-01,27.42,"ENSO"
"317",1888-03-01,27.66,"ENSO"
"466",1888-04-01,28.07,"ENSO"
"615",1888-05-01,28.34,"ENSO"
"764",1888-06-01,28.09,"ENSO"
"913",1888-07-01,27.78,"ENSO"
"1062",1888-08-01,27.8,"ENSO"
"1211",1888-09-01,27.33,"ENSO"
"1360",1888-10-01,28.16,"ENSO"
"1509",1888-11-01,28.86,"ENSO"
"1658",1888-12-01,28.26,"ENSO"
"20",1889-01-01,28.56,"ENSO"
"169",1889-02-01,28.24,"ENSO"
"318",1889-03-01,28.09,"ENSO"
"467",1889-04-01,28.23,"ENSO"
"616",1889-05-01,28.19,"ENSO"
"765",1889-06-01,27.78,"ENSO"
"914",1889-07-01,26.47,"ENSO"
"1063",1889-08-01,25.88,"ENSO"
"1212",1889-09-01,25.83,"ENSO"
"1361",1889-10-01,25.42,"ENSO"
"1510",1889-11-01,25.57,"ENSO"
"1659",1889-12-01,25.34,"ENSO"
"21",1890-01-01,24.09,"ENSO"
"170",1890-02-01,24.65,"ENSO"
"319",1890-03-01,26.11,"ENSO"
"468",1890-04-01,26.63,"ENSO"
"617",1890-05-01,26.87,"ENSO"
"766",1890-06-01,26.82,"ENSO"
"915",1890-07-01,26.3,"ENSO"
"1064",1890-08-01,25.5,"ENSO"
