"","Date","Value","Index"
"1553",1877-11-01,2.2,"NAO"
"1707",1877-12-01,2.5,"NAO"
"14",1878-01-01,0.5,"NAO"
"168",1878-02-01,-0.2,"NAO"
"322",1878-03-01,0.2,"NAO"
"476",1878-04-01,-2.7,"NAO"
"630",1878-05-01,-0.8,"NAO"
"784",1878-06-01,-1.2,"NAO"
"938",1878-07-01,0.4,"NAO"
"1092",1878-08-01,-3.5,"NAO"
"1246",1878-09-01,1,"NAO"
"1400",1878-10-01,-1.4,"NAO"
"1554",1878-11-01,-3.1,"NAO"
"1708",1878-12-01,-5.5,"NAO"
"15",1879-01-01,-0.9,"NAO"
"169",1879-02-01,0.9,"NAO"
"323",1879-03-01,1.2,"NAO"
"477",1879-04-01,-0.2,"NAO"
"631",1879-05-01,1.6,"NAO"
"785",1879-06-01,-1.4,"NAO"
"939",1879-07-01,-0.4,"NAO"
"1093",1879-08-01,-0.7,"NAO"
"1247",1879-09-01,2.9,"NAO"
"1401",1879-10-01,-0.3,"NAO"
"1555",1879-11-01,-3.9,"NAO"
"1709",1879-12-01,-1.2,"NAO"
"16",1880-01-01,-0.8,"NAO"
"170",1880-02-01,1,"NAO"
"324",1880-03-01,0.5,"NAO"
"478",1880-04-01,1.3,"NAO"
"632",1880-05-01,-0.6,"NAO"
"786",1880-06-01,-0.2,"NAO"
"940",1880-07-01,-3.6,"NAO"
"1094",1880-08-01,-0.4,"NAO"
"1248",1880-09-01,-1.1,"NAO"
"1402",1880-10-01,-4.7,"NAO"
"1556",1880-11-01,1,"NAO"
"1710",1880-12-01,-2.2,"NAO"
"17",1881-01-01,-5.9,"NAO"
"171",1881-02-01,-0.9,"NAO"
"325",1881-03-01,-2.3,"NAO"
"479",1881-04-01,-1.9,"NAO"
"633",1881-05-01,0.9,"NAO"
"787",1881-06-01,1.2,"NAO"
"941",1881-07-01,1.7,"NAO"
"1095",1881-08-01,-0.9,"NAO"
"1249",1881-09-01,-2.2,"NAO"
"1403",1881-10-01,-0.9,"NAO"
"1557",1881-11-01,1.4,"NAO"
"1711",1881-12-01,2.7,"NAO"
"18",1882-01-01,1,"NAO"
"172",1882-02-01,0.6,"NAO"
"326",1882-03-01,3.6,"NAO"
"480",1882-04-01,-1.3,"NAO"
"634",1882-05-01,-1.3,"NAO"
"788",1882-06-01,0.1,"NAO"
"942",1882-07-01,1.8,"NAO"
"1096",1882-08-01,0.7,"NAO"
"1250",1882-09-01,1.6,"NAO"
"1404",1882-10-01,0.3,"NAO"
"1558",1882-11-01,1.6,"NAO"
"1712",1882-12-01,-1.4,"NAO"
"19",1883-01-01,0.7,"NAO"
"173",1883-02-01,2.4,"NAO"
"327",1883-03-01,-2.4,"NAO"
"481",1883-04-01,1.3,"NAO"
"635",1883-05-01,1.3,"NAO"
"789",1883-06-01,-2.3,"NAO"
"943",1883-07-01,-2.5,"NAO"
"1097",1883-08-01,1.3,"NAO"
"1251",1883-09-01,-0.7,"NAO"
"1405",1883-10-01,2.5,"NAO"
"1559",1883-11-01,1.9,"NAO"
"1713",1883-12-01,0.7,"NAO"
"20",1884-01-01,0.7,"NAO"
"174",1884-02-01,0.8,"NAO"
"328",1884-03-01,1.3,"NAO"
"482",1884-04-01,-2,"NAO"
"636",1884-05-01,0.3,"NAO"
"790",1884-06-01,0.9,"NAO"
"944",1884-07-01,-3,"NAO"
"1098",1884-08-01,0.9,"NAO"
"1252",1884-09-01,1.4,"NAO"
"1406",1884-10-01,1.4,"NAO"
"1560",1884-11-01,-1.1,"NAO"
"1714",1884-12-01,2.1,"NAO"
"21",1885-01-01,-0.4,"NAO"
"175",1885-02-01,-1.8,"NAO"
"329",1885-03-01,0.9,"NAO"
