"","Date","Value","Index"
"153",1911-09-01,1016.15,"NPI"
"154",1911-10-01,1010.31,"NPI"
"155",1911-11-01,1011.31,"NPI"
"156",1911-12-01,1009.8,"NPI"
"157",1912-01-01,1004.72,"NPI"
"158",1912-02-01,1005.28,"NPI"
"159",1912-03-01,1016.07,"NPI"
"160",1912-04-01,1012.79,"NPI"
"161",1912-05-01,1013.67,"NPI"
"162",1912-06-01,1015.26,"NPI"
"163",1912-07-01,1017.28,"NPI"
"164",1912-08-01,1015.08,"NPI"
"165",1912-09-01,1013.29,"NPI"
"166",1912-10-01,1013.82,"NPI"
"167",1912-11-01,1008.46,"NPI"
"168",1912-12-01,1008.65,"NPI"
"169",1913-01-01,1010.44,"NPI"
"170",1913-02-01,1009.02,"NPI"
"171",1913-03-01,1010.49,"NPI"
"172",1913-04-01,1015.22,"NPI"
"173",1913-05-01,1013.81,"NPI"
"174",1913-06-01,1013.16,"NPI"
"175",1913-07-01,1019,"NPI"
"176",1913-08-01,1016.95,"NPI"
"177",1913-09-01,1013.59,"NPI"
"178",1913-10-01,1013.38,"NPI"
"179",1913-11-01,1012.04,"NPI"
"180",1913-12-01,1003.56,"NPI"
"181",1914-01-01,1008.9,"NPI"
"182",1914-02-01,1004.07,"NPI"
"183",1914-03-01,1016.78,"NPI"
"184",1914-04-01,1013.64,"NPI"
"185",1914-05-01,1016.9,"NPI"
"186",1914-06-01,1014.86,"NPI"
"187",1914-07-01,1016.51,"NPI"
"188",1914-08-01,1016.62,"NPI"
"189",1914-09-01,1016.84,"NPI"
"190",1914-10-01,1009.93,"NPI"
"191",1914-11-01,1011.64,"NPI"
"192",1914-12-01,1011.18,"NPI"
"193",1915-01-01,1010.08,"NPI"
"194",1915-02-01,1011.39,"NPI"
"195",1915-03-01,1007.98,"NPI"
"196",1915-04-01,1011.03,"NPI"
"197",1915-05-01,1012.47,"NPI"
"198",1915-06-01,1019.38,"NPI"
"199",1915-07-01,1019.29,"NPI"
"200",1915-08-01,1016.2,"NPI"
"201",1915-09-01,1015.11,"NPI"
"202",1915-10-01,1014.24,"NPI"
"203",1915-11-01,1012.38,"NPI"
"204",1915-12-01,1010.61,"NPI"
"205",1916-01-01,1018,"NPI"
"206",1916-02-01,1010.88,"NPI"
"207",1916-03-01,1012.31,"NPI"
"208",1916-04-01,1014.57,"NPI"
"209",1916-05-01,1018.19,"NPI"
"210",1916-06-01,1016.52,"NPI"
"211",1916-07-01,1018.17,"NPI"
"212",1916-08-01,1016.14,"NPI"
"213",1916-09-01,1015.87,"NPI"
"214",1916-10-01,1016.61,"NPI"
"215",1916-11-01,1015.01,"NPI"
"216",1916-12-01,1008.18,"NPI"
"217",1917-01-01,1012.96,"NPI"
"218",1917-02-01,1007.88,"NPI"
"219",1917-03-01,1016.75,"NPI"
"220",1917-04-01,1015.02,"NPI"
"221",1917-05-01,1015.42,"NPI"
"222",1917-06-01,1018.13,"NPI"
"223",1917-07-01,1020.13,"NPI"
"224",1917-08-01,1016.85,"NPI"
"225",1917-09-01,1015.91,"NPI"
"226",1917-10-01,1015.12,"NPI"
"227",1917-11-01,1011.36,"NPI"
"228",1917-12-01,1006.8,"NPI"
