year,idx,precipitation,maxtemp,mintemp,windspeed
2003,9,0.10,31.83,12.98,1.49
2003,10,5.40,26.82,9.07,1.65
2003,11,152.30,11.59,1.93,1.84
2003,12,547.20,9.25,1.01,2.86
2004,1,174.60,9.76,-0.05,2.60
2004,2,404.27,10.30,1.06,2.55
2004,3,48.20,20.65,5.70,1.92
2004,4,40.45,20.76,5.99,2.26
2004,5,24.45,23.54,7.53,2.50
2004,6,2.98,29.43,11.91,2.48
2004,7,0.00,32.60,14.39,2.61
2004,8,0.12,32.19,13.78,2.01
2004,9,2.40,29.19,10.62,1.68
2004,10,254.75,20.93,6.49,1.78
2004,11,65.97,14.66,1.84,2.00
2004,12,338.70,12.26,1.23,3.27
2005,1,249.00,10.69,1.13,2.68
2005,2,113.92,14.25,2.73,2.26
2005,3,217.97,16.53,3.48,2.26
2005,4,122.12,17.00,2.84,1.93
2005,5,199.50,20.61,7.57,2.02
2005,6,80.13,24.46,9.43,2.32
2005,7,0.00,34.57,15.77,2.20
2005,8,0.00,33.34,14.04,1.94
2005,9,2.27,27.40,8.40,1.56
2005,10,66.55,21.82,5.94,1.67
2005,11,186.50,16.13,4.17,2.26
2005,12,796.90,11.76,2.46,3.05
2006,1,295.27,10.22,2.12,2.47
2006,2,214.95,14.79,1.21,2.64
2006,3,447.00,8.98,0.14,2.20
2006,4,356.90,16.24,4.80,2.04
2006,5,37.83,24.36,9.35,1.86
2006,6,16.73,30.43,12.30,2.14
2006,7,0.00,34.77,16.79,2.31
2006,8,0.08,31.42,13.49,1.74
2006,9,0.00,29.60,11.25,1.58
2006,10,5.32,22.58,7.10,1.89
2006,11,146.43,13.65,3.37,1.67
2006,12,303.15,11.29,1.06,2.90
2007,1,9.98,11.85,-0.92,2.66
2007,2,355.52,12.08,2.29,2.38
2007,3,27.30,19.92,4.56,1.81
2007,4,109.65,19.60,4.64,2.23
2007,5,24.30,25.34,7.33,2.30
2007,6,8.90,29.31,10.98,2.51
2007,7,14.32,32.79,11.40,2.48
2007,8,0.00,32.69,12.36,2.02
2007,9,23.95,26.71,9.52,1.73
2007,10,104.48,20.33,7.82,1.84
2007,11,35.18,18.21,4.67,1.70
2007,12,247.28,9.13,0.14,2.35
2008,1,401.55,9.63,0.11,3.31
2008,2,183.90,12.50,0.00,2.46
2008,3,31.05,16.27,2.52,1.87
2008,4,21.82,19.41,3.69,2.28
2008,5,8.20,24.69,9.25,2.44
2008,6,1.45,29.46,11.99,2.45
2008,7,0.00,32.96,14.80,2.20
2008,8,0.08,33.58,14.81,1.82
2008,9,0.00,30.57,11.83,1.07
2008,10,119.10,23.52,7.87,1.83
2008,11,124.38,16.91,4.95,1.92
2008,12,202.47,9.50,-0.44,2.43
2009,1,105.62,14.93,2.13,2.76
2009,2,474.73,10.76,1.54,2.80
2009,3,164.65,14.85,1.78,1.97
2009,4,21.43,19.32,4.16,2.68
2009,5,122.60,26.21,8.90,2.18
2009,6,21.25,27.25,8.70,2.27
2009,7,0.00,33.79,12.52,2.15
2009,8,0.35,31.73,13.92,1.91
2009,9,25.62,30.72,12.63,1.49
2009,10,132.00,20.54,6.32,1.97
2009,11,64.18,15.46,3.15,2.02
2009,12,225.93,9.77,0.03,2.42
2010,1,393.90,8.44,1.76,2.78
2010,2,206.67,11.78,2.07,1.82
2010,3,112.88,15.39,1.44,2.37
2010,4,280.70,14.84,1.41,2.15
2010,5,71.78,19.01,4.74,2.39
2010,6,5.68,27.24,11.84,2.55
2010,7,0.00,32.59,14.62,2.19
2010,8,1.17,30.69,12.61,2.06
2010,9,2.88,28.95,11.21,1.27
2010,10,214.23,21.79,8.83,1.72
2010,11,199.57,13.45,1.72,2.51
2010,12,468.33,10.21,2.33,2.39
